date,year,district,address,race,sex,age,category,weapon
03/02/2001,2001,18,"55th&Walnut, Philadelphia, PA",B,M,19,shooting,Firearm
03/02/2001,2001,22,"2500 W. Lehigh, Philadelphia, PA",B,M,36,shooting,Firearm
03/02/2001,2001,14,"1546 Wynsam, Philadelphia, PA",B,M,29,shooting,Firearm
03/02/2001,2001,16,"Baring&Saunders, Philadelphia, PA",B,M,30,shooting,Firearm
03/02/2001,2001,16,"3745 Wallace, Philadelphia, PA",B,M,29,shooting,Firearm
03/03/2001,2001,25,", Philadelphia, PA",B,M,22,shooting,Firearm
03/03/2001,2001,18,"5600 Sansom, Philadelphia, PA",B,M,23,shooting,Firearm
03/03/2001,2001,25,"100 W. Somerset, Philadelphia, PA",B,M,25,shooting,Firearm
03/03/2001,2001,25,"100 W. Somerset, Philadelphia, PA",B,M,25,shooting,Firearm
03/04/2001,2001,16,"51 N. 39th, Philadelphia, PA",B,M,35,shooting,Firearm
03/04/2001,2001,15,"4420 Elizabeth, Philadelphia, PA",B,M,23,shooting,Firearm
03/04/2001,2001,17,"1700 Bancroft, Philadelphia, PA",B,M,26,shooting,Firearm
03/04/2001,2001,16,"40th&Ogden, Philadelphia, PA",B,M,35,shooting,Firearm
03/05/2001,2001,12,"5800 Lindberg, Philadelphia, PA",B,M,29,shooting,Firearm
03/05/2001,2001,19,"6200 Vine, Philadelphia, PA",B,F,32,shooting,Firearm
03/05/2001,2001,39,"246 Berkley, Philadelphia, PA",B,M,30,shooting,Firearm
03/05/2001,2001,35,"5600 N. 6th, Philadelphia, PA",B,M,20,shooting,Firearm
03/05/2001,2001,17,"2400 Morris, Philadelphia, PA",B,M,30,shooting,Firearm
03/06/2001,2001,12,"6165 Elmwood, Philadelphia, PA",W,M,18,shooting,Firearm
03/06/2001,2001,39,"246 Berkley, Philadelphia, PA",B,M,30,shooting,Firearm
03/06/2001,2001,39,"2500 W. Cambria, Philadelphia, PA",B,M,27,shooting,Firearm
03/06/2001,2001,35,"5600 N. 6th, Philadelphia, PA",B,M,20,shooting,Firearm
03/06/2001,2001,35,"Broad&Clearview, Philadelphia, PA",B,M,26,shooting,Firearm
03/06/2001,2001,22,"3223 W. Susquehanna, Philadelphia, PA",B,F,23,shooting,Firearm
03/06/2001,2001,16,"3800 Baring, Philadelphia, PA",B,M,23,shooting,Firearm
03/06/2001,2001,25,"800 W. Bristol, Philadelphia, PA",B,F,27,shooting,Firearm
03/06/2001,2001,12,"60th&Chester, Philadelphia, PA",B,M,19,shooting,Firearm
03/06/2001,2001,25,", Philadelphia, PA",B,M,22,shooting,Firearm
03/06/2001,2001,22,"2456 N. Douglas, Philadelphia, PA",B,M,42,shooting,Firearm
03/06/2001,2001,25,"800 W. Bristol, Philadelphia, PA",B,M,25,shooting,Firearm
03/08/2001,2001,39,"1500 W. Clearfield, Philadelphia, PA",B,M,28,shooting,Firearm
03/09/2001,2001,24,"256 E. Elkhart, Philadelphia, PA",W,M,27,shooting,Firearm
03/10/2001,2001,14,"Haines&Wister, Philadelphia, PA",B,F,37,shooting,Firearm
03/11/2001,2001,2,"Bingham&Godfrey, Philadelphia, PA",B,F,35,shooting,Firearm
03/11/2001,2001,14,"Chelten&Bloyd, Philadelphia, PA",B,M,22,shooting,Firearm
03/11/2001,2001,12,"1433. 58th, Philadelphia, PA",B,M,15,shooting,Firearm
03/12/2001,2001,24,"D&Cambria, Philadelphia, PA",W,M,21,shooting,Firearm
03/12/2001,2001,22,"1800 Etting, Philadelphia, PA",B,M,17,shooting,Firearm
03/13/2001,2001,25,"700 W. Allegheny, Philadelphia, PA",W,M,20,shooting,Firearm
03/14/2001,2001,19,"Lancaster&Malvern, Philadelphia, PA",B,M,19,shooting,Firearm
03/14/2001,2001,12,"5800 Baltimore, Philadelphia, PA",B,M,21,shooting,Firearm
03/14/2001,2001,35,"700 W. Lindley, Philadelphia, PA",B,F,28,shooting,Firearm
03/14/2001,2001,26,"558 W. Cumberland, Philadelphia, PA",B,M,23,shooting,Firearm
03/15/2001,2001,26,"5th&Thompson, Philadelphia, PA",B,M,22,shooting,Firearm
03/15/2001,2001,07,"737 RedLion Road, Philadelphia, PA",W,M,42,shooting,Firearm
03/15/2001,2001,22,"3000 Dakota, Philadelphia, PA",B,F,30,shooting,Firearm
03/16/2001,2001,16,"4108 Lancaster, Philadelphia, PA",B,M,22,shooting,Firearm
03/17/2001,2001,24,"220 E.Cambria, Philadelphia, PA",W,M,28,shooting,Firearm
03/17/2001,2001,19,"5417 Master, Philadelphia, PA",B,M,20,shooting,Firearm
03/18/2001,2001,25,"4300 Marshall, Philadelphia, PA",W,M,20,shooting,Firearm
