CaseNumber,Date,Year,District,Location,LocationDir,LocationStreet,Age,Race,Sex,Hispanic,UCR,Weapon
M00072,3/14/2000,2000,25,02932,N,02ND,27,W,M,N,111,UNKNOWN
M00091,4/14/2000,2000,12,01730,S,57TH,50,B,M,N,111,UNKNOWN
M00092,4/14/2000,2000,35,06115,N,WARNOCK,66,B,F,N,111,UNKNOWN
M00094,4/15/2000,2000,25,00600,W,BRISTOL,39,W,M,Y,111,UNKNOWN
M00099,4/26/2000,2000,92,00001,,CHAMOUNIX DR,16,B,M,N,111,UNKNOWN
M00115,5/17/2000,2000,25,01227,W,SILVER,30,B,F,N,111,UNKNOWN
M00121,5/20/2000,2000,25,00900,W,CAYUGA,33,B,M,N,111,UNKNOWN
M00125,5/26/2000,2000,25,03728,N,13TH,32,B,M,N,111,UNKNOWN
M00152,7/7/2000,2000,18,00707,S,59TH,35,B,M,N,111,UNKNOWN
M00163,7/16/2000,2000,17,01600,S,15TH,21,B,M,N,111,UNKNOWN
M00174,7/28/2000,2000,23,01817,W,INGERSOLL,35,B,M,N,111,UNKNOWN
M00203,8/23/2000,2000,12,01700,,AVONDALE,53,B,M,N,111,UNKNOWN
M00235,9/29/2000,2000,19,00134,N,53RD,23,B,M,N,111,UNKNOWN
M00245,10/18/2000,2000,25,01300,W,HUNTING PARK,33,B,M,N,111,UNKNOWN
M00253,10/26/2000,2000,18,06239,,CARPENTER,26,B,M,N,111,UNKNOWN
M00256,10/27/2000,2000,19,01300,N,49TH,28,B,M,N,111,UNKNOWN
M00257,10/28/2000,2000,18,05713,,CEDAR,17,B,M,N,111,UNKNOWN
